cellI,x,y,z,V,Ux,Uy,Uz
28359,8.65198,0.58125,0.005,1.90485e-06,3.7157,-0.00210335,0
28360,8.66721,0.58125,0.005,1.90268e-06,3.71587,-0.00210344,0
28361,8.68242,0.58125,0.005,1.9005e-06,3.71605,-0.00210357,0
28362,8.69762,0.58125,0.005,1.89833e-06,3.71622,-0.00210375,0
28363,8.71279,0.58125,0.005,1.89616e-06,3.71639,-0.00210397,0
28364,8.72795,0.58125,0.005,1.89399e-06,3.71657,-0.00210425,0
28365,8.7431,0.58125,0.005,1.89183e-06,3.71674,-0.00210459,0
28366,8.75822,0.58125,0.005,1.88966e-06,3.71691,-0.00210499,0
28367,8.77333,0.58125,0.005,1.8875e-06,3.71708,-0.00210544,0
28368,8.78842,0.58125,0.005,1.88535e-06,3.71726,-0.00210596,0
28369,8.8035,0.58125,0.005,1.88319e-06,3.71743,-0.00210655,0
28370,8.81856,0.58125,0.005,1.88104e-06,3.7176,-0.00210721,0
28371,8.83359,0.58125,0.005,1.87889e-06,3.71777,-0.00210794,0
28372,8.84862,0.58125,0.005,1.87674e-06,3.71794,-0.00210876,0
28373,8.86362,0.58125,0.005,1.87459e-06,3.71811,-0.00210965,0
28374,8.87861,0.58125,0.005,1.87245e-06,3.71828,-0.00211064,0
28375,8.89358,0.58125,0.005,1.87031e-06,3.71845,-0.00211171,0
28376,8.90854,0.58125,0.005,1.86817e-06,3.71862,-0.00211288,0
28377,8.92347,0.58125,0.005,1.86604e-06,3.71879,-0.00211415,0
28378,8.93839,0.58125,0.005,1.8639e-06,3.71896,-0.00211553,0
28379,8.9533,0.58125,0.005,1.86177e-06,3.71912,-0.00211702,0
28380,8.96818,0.58125,0.005,1.85964e-06,3.71929,-0.00211864,0
28381,8.98305,0.58125,0.005,1.85752e-06,3.71946,-0.00212038,0
28382,8.9979,0.58125,0.005,1.85539e-06,3.71963,-0.00212225,0
28383,9.01274,0.58125,0.005,1.85327e-06,3.71979,-0.00212426,0
28384,9.02755,0.58125,0.005,1.85116e-06,3.71996,-0.00212641,0
28385,9.04235,0.58125,0.005,1.84904e-06,3.72012,-0.00212873,0
28386,9.05714,0.58125,0.005,1.84693e-06,3.72029,-0.00213121,0
28387,9.07191,0.58125,0.005,1.84481e-06,3.72046,-0.00213387,0
28388,9.08666,0.58125,0.005,1.84271e-06,3.72062,-0.0021367,0
28389,9.10139,0.58125,0.005,1.8406e-06,3.72078,-0.00213971,0
28390,9.1161,0.58125,0.005,1.83849e-06,3.72095,-0.00214292,0
28391,9.1308,0.58125,0.005,1.83639e-06,3.72111,-0.00214634,0
28392,9.14549,0.58125,0.005,1.83429e-06,3.72127,-0.00214998,0
28393,9.16015,0.58125,0.005,1.8322e-06,3.72144,-0.00215385,0
28394,9.1748,0.58125,0.005,1.8301e-06,3.7216,-0.00215796,0
28395,9.18943,0.58125,0.005,1.82801e-06,3.72176,-0.00216232,0
28396,9.20405,0.58125,0.005,1.82592e-06,3.72192,-0.00216695,0
28397,9.21865,0.58125,0.005,1.82383e-06,3.72208,-0.00217186,0
28398,9.23323,0.58125,0.005,1.82175e-06,3.72224,-0.00217706,0
28399,9.2478,0.58125,0.005,1.81967e-06,3.7224,-0.00218258,0
